company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5805964,0,3/11/2011,-804.1576,gn,,,,,,,,,,,2810.406458,-13630.47132,,2010.394,,2010.394,0,0,0,
VIR,5804182,0,3/11/2011,-1336.0164,gn,,,,,,,,,,,4669.170718,-22645.47798,,3340.041,,3340.041,0,0,0,
VIR,5556645,0,3/11/2011,-214.104,gn,,,,,,,,,,,748.2603711,-3629.0628,,535.26,,525.921,-7.998,0,17.337,
VIR,5805111,0,3/11/2011,-139.2328,gn,,,,,,,,,,,486.5971052,-2359.99596,,348.082,,348.082,0,0,0,
VIR,5569030,0,3/11/2011,-40.117,gn,,,,,,,,,,,140.2027113,-679.98315,,94.916,,94.916,0,0,0,
VIR,5649205,0,3/11/2011,-29.2496,gn,,,,,,,,,,,102.2228289,-495.78072,,73.124,,73.124,0,0,0,
VIR,5437242,0,3/11/2011,-2023.6072,gn,,,,,,,,,,,7072.194235,-34300.14204,,5059.018,,5111.745,-52.727,0,0,
VIR,5805908,0,3/11/2011,-1446.6796,gn,,,,,,,,,,,5055.921489,-24521.21922,,3616.699,,3649.781,-33.082,0,0,
VIR,5566012,0,3/11/2011,-44.814,gn,,,,,,,,,,,156.618,-759.5973,,112.035,,112.035,0,0,0,
VIR,5566016,0,3/11/2011,-44.328,gn,,,,,,,,,,,154.9195052,-751.3596,,110.489,,110.489,0,0,0,
VIR,5785536,0,3/11/2011,-38.7608,gn,,,,,,,,,,,135.4630021,-656.99556,,96.902,,96.902,0,0,0,
VIR,5803973,0,3/11/2011,-807.8332,gn,,,,,,,,,,,2823.252111,-13692.77274,,2019.583,,2019.583,0,0,0,
VIR,5679685,0,3/11/2011,-102.0184,gn,,,,,,,,,,,356.538532,-1729.21188,,255.046,,255.046,0,0,0,
VIR,5568130,0,3/11/2011,-240.9612,gn,,,,,,,,,,,842.122132,-4084.29234,,602.403,,602.403,0,0,0,
VIR,5627158,0,3/11/2011,-47.894,gn,,,,,,,,,,,167.3821237,-811.8033,,119.735,,119.735,0,0,0,
VIR,5805787,0,3/11/2011,-39.33,gn,,,,,,,,,,,137.452268,-666.6435,,98.325,,98.325,0,0,0,
VIR,5803481,0,3/11/2011,-85.7856,gn,,,,,,,,,,,299.8074062,-1454.06592,,214.464,,192.064,22.4,0,0,
VIR,5574537,0,3/11/2011,-37.8784,gn,,,,,,,,,,,132.3791505,-642.03888,,94.696,,94.696,0,0,0,
VIR,5560969,0,3/11/2011,-28.4004,gn,,,,,,,,,,,99.25500619,-481.38678,,71.001,,71.001,0,0,0,
VIR,5083628,0,3/11/2011,-63.3424,gn,,,,,,,,,,,221.3718928,-1073.65368,,158.356,,161.646,-3.29,0,0,
